player,total_games,shots_made,total_shots,shooting%,2pt_made,2pt_attempts,2pt%,3pt_made,3pt_attempts,3pt%,FT_made,FT_Attempts,FT%,total_assists,total_blocks,off_rebound,is_clutch,years_played,clutch_years
Jarnell Stokes,1,1,1,100.0,1,1,100.0,0,0,0.0,1,2,50.0,0,0,0,0.0,1,0.0
Jarrett Allen,7,0,3,0.0,0,3,0.0,0,0,0.0,9,10,90.0,0,2,3,0.0,1,0.0
Jarrett Jack,219,122,302,40.4,94,204,46.08,28,98,28.57,217,261,83.14,40,19,11,1.0,12,5.0
Jarron Collins,11,1,1,100.0,1,1,100.0,0,0,0.0,6,11,54.55,1,0,3,0.0,3,0.0
Jarvis Hayes,50,17,50,34.0,4,14,28.57,13,36,36.11,21,27,77.78,15,1,7,0.0,6,0.0
Jason Collins,29,5,9,55.56,5,9,55.56,0,0,0.0,14,31,45.16,3,2,12,0.0,5,0.0
Jason Hart,35,15,42,35.71,12,27,44.44,3,15,20.0,24,32,75.0,3,3,3,0.0,4,0.0
Jason Kapono,48,27,72,37.5,12,25,48.0,15,47,31.91,7,12,58.33,21,2,4,0.0,7,0.0
Jason Kidd,185,55,170,32.35,28,69,40.58,27,101,26.73,119,164,72.56,31,4,18,0.0,9,1.0
Jason Maxiell,46,13,27,48.15,13,27,48.15,0,0,0.0,21,34,61.76,6,2,23,0.0,10,0.0
Jason Richardson,167,110,287,38.33,60,149,40.27,50,138,36.23,97,141,68.79,64,9,28,0.0,10,3.0
Jason Smith,31,8,34,23.53,7,32,21.88,1,2,50.0,12,16,75.0,4,10,11,0.0,8,0.0
Jason Terry,240,152,373,40.75,107,219,48.86,45,154,29.22,188,226,83.19,72,19,17,1.0,14,5.0
Jason Thompson,69,23,58,39.66,23,57,40.35,0,1,0.0,18,34,52.94,12,4,32,0.0,8,1.0
Jason Williams,45,21,49,42.86,13,28,46.43,8,21,38.1,28,37,75.68,8,1,4,0.0,6,0.0
Javaris Crittenton,2,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0.0,1,0.0
Jawad Williams,3,1,1,100.0,1,1,100.0,0,0,0.0,1,2,50.0,0,0,3,0.0,2,0.0
Jawun Evans,1,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0,,1,0.0
Jaylen Brown,15,9,17,52.94,4,8,50.0,5,9,55.56,3,7,42.86,6,2,3,0.0,2,1.0
Jayson Tatum,16,7,17,41.18,5,12,41.67,2,5,40.0,11,15,73.33,7,1,0,0.0,1,1.0
Jeff Adrien,6,3,5,60.0,3,5,60.0,0,0,0.0,2,2,100.0,3,0,1,0.0,2,0.0
Jeff Ayres,5,3,4,75.0,3,3,100.0,0,1,0.0,1,2,50.0,3,0,1,0.0,3,0.0
Jeff Foster,58,9,22,40.91,9,22,40.91,0,0,0.0,15,24,62.5,5,2,35,0.0,7,0.0
Jeff Green,181,96,232,41.38,65,137,47.45,31,95,32.63,99,118,83.9,53,19,34,1.0,10,4.0
Jeff McInnis,20,8,26,30.77,6,14,42.86,2,12,16.67,14,19,73.68,6,1,3,0.0,4,0.0
Jeff Taylor,9,2,4,50.0,1,1,100.0,1,3,33.33,1,2,50.0,2,0,0,0.0,2,0.0
